tick;name;2024;2023;2022;2021;2020;2019;2018;2017;2016
AOSL.OQ;Alpha and Omega Semiconductor Ltd;14.02177502;14.53735277;15.55574387;16.25448365;16.33687587;16.56565321;16.94671134;;
AMR.N;Alpha Metallurgical Resources Inc;1193.945703;1369.453808;1513.839135;2218.543966;;;;;
GOOGL.OQ;Alphabet Inc;0.322448345;0.174947698;0.211990555;0.412005659;0.464270313;0.600324749;0.733538639;0.893344357;
GOOG.OQ;Alphabet Inc;0.322448345;0.174947698;0.211990555;0.412005659;0.464270313;0.600324749;0.733538639;0.893344357;
ATEC.OQ;Alphatec Holdings Inc;30.22904601;29.25509699;23.37106743;9.397759499;9.40466266;;;;
ALTG.N;Alta Equipment Group Inc;28.53693705;30.36306347;37.86775328;36.72665692;;;;;
ALTR.OQ;Altair Engineering Inc;1.788451451;1.999515525;1.787355873;1.823007293;1.774128129;1.874070172;;;
ALT.OQ;Altimmune Inc;;18.66133;18.90456313;;;;;;
MO.N;Altria Group Inc;4.936722984;4.962403414;5.348067143;6.153205894;6.392485412;6.556732875;6.620649472;7.560470237;
AMPS.N;Altus Power Inc;2.056020837;;;;;;;;
ALXO.OQ;ALX Oncology Holdings Inc;;;14.67941762;;;;;;
AMAL.OQ;Amalgamated Bank;0.400793738;0.329494913;0.175141717;0.193545463;0.02957172;0.027929754;;;
AMZN.OQ;Amazon.com Inc;21.73768357;25.77571931;24.91814829;20.53314892;21.38376122;21.32969739;9.651674742;6.36169174;
AMBC.N;Ambac Financial Group Inc;0.620107935;1.073067453;0.597715312;0.662333041;0.767405038;0.828138857;0.786899968;0.765977542;0.781610255
AMBA.OQ;Ambarella Inc;9.406134591;14.78923846;23.15021722;15.84643736;16.53633389;12.92422793;16.34093797;17.15509918;
AMC.N;AMC Entertainment Holdings Inc;8.267464143;8.84662818;9.244004939;7.074856468;7.179818391;9.761759813;3.103433819;3.241454902;
